name,category,slot,use,set,tier,craft_role,crafting,resource_info,mining_info,theme,pack,slug,url
"Parts Bin","storage","","Storage container.","","","buildable storage","Built from plates / beams via the build menu.","—","—","Heavy Industrial Gear","heavy-gear","parts-bin","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/parts-bin.png"
"Calibration Station","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Heavy Industrial Gear","heavy-gear","calibration-station","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/calibration-station.png"
"Med Station","consumable","","Consumable — restores health.","","","craftable consumable","Crafted at a Med Station from medical components.","Single-use — consumed on use.","—","Heavy Industrial Gear","heavy-gear","med-station","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/med-station.png"
"Revive Beacon","beacon","","Revive beacon — respawns a downed ally.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Heavy Industrial Gear","heavy-gear","revive-beacon","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/revive-beacon.png"
"Flashbang","throwable","","Throwable — blinds / stuns enemies.","","","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","Single-use — consumed on use.","—","Heavy Industrial Gear","heavy-gear","flashbang","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/flashbang.png"
"Trip Mine","trap","","Placed trap — detonates on trigger.","","","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","—","—","Heavy Industrial Gear","heavy-gear","trip-mine","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/trip-mine.png"
"Signal Pistol","weapon","weapon","Sidearm — backup gun.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Heavy Industrial Gear","heavy-gear","signal-pistol","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/signal-pistol.png"
"Thruster Pack","utility","feet","Movement buff — flight / hover.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Heavy Industrial Gear","heavy-gear","thruster-pack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/thruster-pack.png"
"Anchor Hook","utility","","Traversal — grapple / winch to reach heights.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Heavy Industrial Gear","heavy-gear","anchor-hook","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/anchor-hook.png"
"Thermal Goggles","utility","head","Vision buff — enhanced detection / targeting.","","","craftable utility","Crafted at a Fabricator from components.","—","Mining safety / utility gear.","Heavy Industrial Gear","heavy-gear","thermal-goggles","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/thermal-goggles.png"
"Sound Dampeners","utility","","Dampening — cuts recoil / sound for stealth.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Heavy Industrial Gear","heavy-gear","sound-dampeners","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/sound-dampeners.png"
"Reinforced Gloves","wearable","hand","Hand wearable — handling / melee buff.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Heavy Industrial Gear","heavy-gear","reinforced-gloves","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/reinforced-gloves.png"
"Alloy Plate","block","","Building block / crafting material.","","","building material","Crafted/placed building material; stacks in inventory.","Building resource — stack 64.","—","Heavy Industrial Gear","heavy-gear","alloy-plate","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/alloy-plate.png"
"Load Bearing Beam","structure","","Structure — load-bearing build piece.","","","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Heavy Industrial Gear","heavy-gear","load-bearing-beam","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/load-bearing-beam.png"
"Air Purifier","utility","","Air system — ventilation / filtration.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Heavy Industrial Gear","heavy-gear","air-purifier","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/air-purifier.png"
"Command Console","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Heavy Industrial Gear","heavy-gear","command-console","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/command-console.png"
"Champion Trophy","reward","","Reward — quest / achievement payout.","","","reward (not craftable)","Awarded for quests / achievements — not crafted.","—","—","Heavy Industrial Gear","heavy-gear","champion-trophy","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/heavy-gear/champion-trophy.png"
"Auto-Drill","tool","tool","Mining tool — faster ore harvest.","Field-Ops","T1","craftable recipe (T1)","Crafted at a Crafting Bench from refined alloy + components (T1 recipe).","—","Mining tool — boosts dig speed & ore yield.","Field-Ops Line (Tier 1)","ops-tier-1","auto-drill","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/auto-drill.png"
"Mining Goggles","utility","head","Vision buff — enhanced detection / targeting.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","Mining safety / utility gear.","Field-Ops Line (Tier 1)","ops-tier-1","mining-goggles","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/mining-goggles.png"
"Utility Vest","wearable","chest","Wearable — capacity / protection buff.","Field-Ops","T1","craftable recipe","Crafted at a Crafting Bench from refined alloy + components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","utility-vest","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/utility-vest.png"
"Explosive Launcher","weapon","weapon","Firearm — primary ranged weapon.","Field-Ops","T1","craftable recipe (T1)","Crafted at a Crafting Bench from refined alloy + components (T1 recipe).","—","Demolition — clears rock fast for mining.","Field-Ops Line (Tier 1)","ops-tier-1","explosive-launcher","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/explosive-launcher.png"
"Portable Smelter","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T1","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 1)","ops-tier-1","portable-smelter","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/portable-smelter.png"
"Parts Fabricator","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T1","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 1)","ops-tier-1","parts-fabricator","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/parts-fabricator.png"
"Ore Sorter","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T1","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","Mineable deposit — drops raw resources when mined.","Field-Ops Line (Tier 1)","ops-tier-1","ore-sorter","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/ore-sorter.png"
"Fuel Tank","power","","Power source / fuel for machines.","Field-Ops","T1","craftable power","Crafted from cells / fuel; powers nearby machines.","Energy resource — consumed as fuel by machines.","—","Field-Ops Line (Tier 1)","ops-tier-1","fuel-tank","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/fuel-tank.png"
"Power Cell Charger","power","","Power source / fuel for machines.","Field-Ops","T1","craftable power","Crafted from cells / fuel; powers nearby machines.","Energy resource — consumed as fuel by machines.","Demolition — clears rock fast for mining.","Field-Ops Line (Tier 1)","ops-tier-1","power-cell-charger","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/power-cell-charger.png"
"Blueprint Printer","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T1","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 1)","ops-tier-1","blueprint-printer","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/blueprint-printer.png"
"Trauma Kit","consumable","","Consumable — restores health.","Field-Ops","T1","craftable consumable","Crafted at a Med Station from medical components.","Single-use — consumed on use.","—","Field-Ops Line (Tier 1)","ops-tier-1","trauma-kit","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/trauma-kit.png"
"Defibrillator","consumable","","Consumable — restores health.","Field-Ops","T1","craftable consumable","Crafted at a Med Station from medical components.","Single-use — consumed on use.","—","Field-Ops Line (Tier 1)","ops-tier-1","defibrillator","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/defibrillator.png"
"Smoke Grenade","throwable","","Throwable — smoke screen for cover.","Field-Ops","T1","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","Single-use — consumed on use.","—","Field-Ops Line (Tier 1)","ops-tier-1","smoke-grenade","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/smoke-grenade.png"
"Claymore Mine","trap","","Placed trap — detonates on trigger.","Field-Ops","T1","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","—","Mineable deposit — drops raw resources when mined.","Field-Ops Line (Tier 1)","ops-tier-1","claymore-mine","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/claymore-mine.png"
"Flare Launcher","weapon","weapon","Flare weapon — incendiary signal rounds.","Field-Ops","T1","craftable recipe (T1)","Crafted at a Crafting Bench from refined alloy + components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","flare-launcher","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/flare-launcher.png"
"Jet Boots","utility","feet","Movement buff — flight / hover.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","jet-boots","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/jet-boots.png"
"Winch Hook","utility","","Traversal — grapple / winch to reach heights.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","Logistics — hauls mined ore from the dig site.","Field-Ops Line (Tier 1)","ops-tier-1","winch-hook","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/winch-hook.png"
"Infrared Goggles","utility","head","Vision buff — enhanced detection / targeting.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","Mining safety / utility gear.","Field-Ops Line (Tier 1)","ops-tier-1","infrared-goggles","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/infrared-goggles.png"
"Noise Cancelers","utility","","Dampening — cuts recoil / sound for stealth.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","noise-cancelers","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/noise-cancelers.png"
"Impact Gloves","wearable","hand","Hand wearable — handling / melee buff.","Field-Ops","T1","craftable recipe","Crafted at a Crafting Bench from refined alloy + components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","impact-gloves","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/impact-gloves.png"
"Steel Plate","block","","Building block / crafting material.","Field-Ops","T1","building material","Crafted/placed building material; stacks in inventory.","Building resource — stack 64.","—","Field-Ops Line (Tier 1)","ops-tier-1","steel-plate","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/steel-plate.png"
"Support Pillar","structure","","Structure — load-bearing build piece.","Field-Ops","T1","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Field-Ops Line (Tier 1)","ops-tier-1","support-pillar","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/support-pillar.png"
"Exhaust Fan","utility","","Air system — ventilation / filtration.","Field-Ops","T1","research recipe (T1)","Crafted at a Fabricator from components (T1 recipe).","—","—","Field-Ops Line (Tier 1)","ops-tier-1","exhaust-fan","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/exhaust-fan.png"
"Tactical Console","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T1","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 1)","ops-tier-1","tactical-console","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/tactical-console.png"
"Legend Trophy","reward","","Reward — quest / achievement payout.","Field-Ops","T1","reward (not craftable)","Awarded for quests / achievements — not crafted.","—","—","Field-Ops Line (Tier 1)","ops-tier-1","legend-trophy","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-1/legend-trophy.png"
"Rock Drill","tool","tool","Mining tool — faster ore harvest.","Field-Ops","T2","craftable recipe (T2)","Crafted at a Crafting Bench from refined alloy + components (T2 recipe).","—","Mining tool — boosts dig speed & ore yield.","Field-Ops Line (Tier 2)","ops-tier-2","rock-drill","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/rock-drill.png"
"Surveyor's Compass","utility","","Survey readout — navigation / scan data.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","surveyors-compass","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/surveyors-compass.png"
"Climbing Harness","utility","","Traversal — grapple / winch to reach heights.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","climbing-harness","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/climbing-harness.png"
"Portable Charger","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","Demolition — clears rock fast for mining.","Field-Ops Line (Tier 2)","ops-tier-2","portable-charger","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/portable-charger.png"
"Hazard Suit","utility","","Survival — breathe in toxic / low-air zones.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","hazard-suit","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/hazard-suit.png"
"Refining Station","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","refining-station","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/refining-station.png"
"Component Bench","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","component-bench","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/component-bench.png"
"Alloy Smelter","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","alloy-smelter","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/alloy-smelter.png"
"Resource Hopper","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","Logistics — hauls mined ore from the dig site.","Field-Ops Line (Tier 2)","ops-tier-2","resource-hopper","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/resource-hopper.png"
"Precision Lathe","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","precision-lathe","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/precision-lathe.png"
"Healing Drone","consumable","","Consumable — restores health.","Field-Ops","T2","craftable consumable","Crafted at a Med Station from medical components.","Single-use — consumed on use.","—","Field-Ops Line (Tier 2)","ops-tier-2","healing-drone","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/healing-drone.png"
"Revival Pad","beacon","","Revive beacon — respawns a downed ally.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","revival-pad","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/revival-pad.png"
"Concussion Grenade","throwable","","Throwable — blinds / stuns enemies.","Field-Ops","T2","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","Single-use — consumed on use.","—","Field-Ops Line (Tier 2)","ops-tier-2","concussion-grenade","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/concussion-grenade.png"
"Pressure Mine","trap","","Placed trap — detonates on trigger.","Field-Ops","T2","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","—","—","Field-Ops Line (Tier 2)","ops-tier-2","pressure-mine","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/pressure-mine.png"
"Distress Beacon","beacon","","Beacon — marker / respawn point.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","distress-beacon","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/distress-beacon.png"
"Boost Pack","utility","feet","Movement buff — flight / hover.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","boost-pack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/boost-pack.png"
"Grapple Cable","utility","","Traversal — grapple / winch to reach heights.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","grapple-cable","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/grapple-cable.png"
"Heat Vision","utility","head","Vision buff — enhanced detection / targeting.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","heat-vision","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/heat-vision.png"
"Acoustic Dampers","utility","","Dampening — cuts recoil / sound for stealth.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","acoustic-dampers","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/acoustic-dampers.png"
"Heavy Gauntlets","wearable","hand","Hand wearable — handling / melee buff.","Field-Ops","T2","craftable recipe","Crafted at a Crafting Bench from refined alloy + components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","heavy-gauntlets","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/heavy-gauntlets.png"
"Titanium Sheet","block","","Building block / crafting material.","Field-Ops","T2","building material","Crafted/placed building material; stacks in inventory.","Building resource — stack 64.","—","Field-Ops Line (Tier 2)","ops-tier-2","titanium-sheet","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/titanium-sheet.png"
"Support Beam","structure","","Structure — load-bearing build piece.","Field-Ops","T2","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","support-beam","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/support-beam.png"
"Air Scrubber","utility","","Air system — ventilation / filtration.","Field-Ops","T2","research recipe (T2)","Crafted at a Fabricator from components (T2 recipe).","—","—","Field-Ops Line (Tier 2)","ops-tier-2","air-scrubber","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/air-scrubber.png"
"Strategy Terminal","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T2","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 2)","ops-tier-2","strategy-terminal","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/strategy-terminal.png"
"Hero Statue","reward","","Reward — quest / achievement payout.","Field-Ops","T2","reward (not craftable)","Awarded for quests / achievements — not crafted.","—","—","Field-Ops Line (Tier 2)","ops-tier-2","hero-statue","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-2/hero-statue.png"
"Core Drill","tool","tool","Mining tool — faster ore harvest.","Field-Ops","T3","craftable recipe (T3)","Crafted at a Crafting Bench from refined alloy + components (T3 recipe).","—","Mining tool — boosts dig speed & ore yield.","Field-Ops Line (Tier 3)","ops-tier-3","core-drill","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/core-drill.png"
"Depth Gauge","utility","","Survey readout — navigation / scan data.","Field-Ops","T3","research recipe (T3)","Crafted at a Fabricator from components (T3 recipe).","—","—","Field-Ops Line (Tier 3)","ops-tier-3","depth-gauge","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/depth-gauge.png"
"Reinforced Pack","wearable","","Wearable — capacity / protection buff.","Field-Ops","T3","craftable recipe","Crafted at a Crafting Bench from refined alloy + components (T3 recipe).","—","—","Field-Ops Line (Tier 3)","ops-tier-3","reinforced-pack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/reinforced-pack.png"
"Seismic Hammer","tool","tool","Hammer — build & repair tool.","Field-Ops","T3","craftable recipe (T3)","Crafted at a Crafting Bench from refined alloy + components (T3 recipe).","—","Mining tool — boosts dig speed & ore yield.","Field-Ops Line (Tier 3)","ops-tier-3","seismic-hammer","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/seismic-hammer.png"
"Rescue Beacon","beacon","","Beacon — marker / respawn point.","Field-Ops","T3","research recipe (T3)","Crafted at a Fabricator from components (T3 recipe).","—","—","Field-Ops Line (Tier 3)","ops-tier-3","rescue-beacon","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/rescue-beacon.png"
"Advanced Forge","station","","Crafting station — unlocks & levels recipes.","Field-Ops","T3","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Field-Ops Line (Tier 3)","ops-tier-3","advanced-forge","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/ops-tier-3/advanced-forge.png"
